,standard_inflation,standard_electricity,standard_confidence
57,-0.1217973987398343,-0.6104322524598257,0.8945270706081249
25,-0.788533159082893,-0.7605288566464635,0.5119917920005254
44,-0.255144550808446,-0.1601424398999142,1.0991539816168228
120,0.1448969053973891,2.16635492499297,-0.460805350141619
126,0.0559988040183145,2.5415964354595646,0.1991184558783311
73,-0.2106955001189089,-0.7605288566464635,-0.4474218622342327
33,-0.5218388549456695,-0.7605288566464635,0.5841560754095114
11,-0.8774312604619674,-0.6854805545531446,0.596102735302717
116,0.4115912095346126,2.0162583208063345,-1.2384764047171648
79,-0.6551860070142812,-0.5353839503665068,-0.8609135196867346
122,0.322693108155538,2.241403227086289,-0.4776921153420251
78,-0.788533159082893,-0.5353839503665068,-1.036222681552103
106,1.9228589329788783,1.415871904059783,-2.0608990014872695
24,-0.6107369563247441,-0.7605288566464635,0.563087979246485
112,0.5449383616032242,1.5659685082464208,-1.0219431941527168
23,-0.9218803111515048,-0.8355771587397824,0.6505084702218025
96,2.1006551357370276,0.2150990705666803,-1.0131850009202017
82,-0.6996350577038185,-0.6104322524598257,-0.6938378666666851
91,1.1227760205672082,-0.0100458357132764,0.1549723187459251
100,2.5895946933219367,0.7404371852199128,-2.374071004106786
16,-1.2330236659782654,-0.5353839503665068,0.6576926102927172
52,0.0115497533287772,-0.6104322524598257,1.1306350448489328
19,-1.1441255645991908,-0.1601424398999142,0.4742952367969478
121,0.1893459560869263,2.16635492499297,-0.4152546732650128
65,-0.5218388549456695,-0.3852873461798689,0.7339736481243627
75,-1.0996765139096538,-0.8355771587397824,-1.6305205788343615
55,-0.0328992973607598,-0.3852873461798689,1.056856347940868
111,0.9449798178090596,1.5659685082464208,-1.1665623554005355
34,-0.4773898042561323,-0.9856737629264204,0.628633167309231
87,0.6338364629822988,-0.3852873461798689,0.4347421060694211
32,-0.5662879056352068,-0.3852873461798689,0.5279744856414336
119,0.2782440574660007,1.8661617166196964,-0.6110911027712153
6,-0.3440426521875206,-0.0850941378065953,0.1991184558783311
41,-0.5218388549456695,-0.1601424398999142,0.9176131836450026
46,-0.255144550808446,-0.6104322524598257,1.1115042448848125
58,-0.255144550808446,-0.7605288566464635,0.8324528715683953
39,-0.255144550808446,-0.6854805545531446,0.8711987955463769
22,-1.0107784125305792,-0.7605288566464635,0.7048334844659198
54,0.0559988040183145,-0.3852873461798689,1.1133608204087502
92,1.1672250712567458,-0.0100458357132764,0.0084965819741685
88,0.9894288684985966,-0.31023904408655,0.557760414699508
37,-0.0328992973607598,-0.6854805545531446,0.7253365359042714
95,1.8784098822893411,-0.1601424398999142,-0.638996240102858
124,0.2337950067764634,2.316451529179608,-0.6625505330544691
36,-0.1217973987398343,-0.7605288566464635,0.6436472128507035
38,-0.1662464494293716,-0.7605288566464635,0.8131606302543614
2,-0.5662879056352068,-0.6854805545531446,0.1991184558783311
86,-0.0773483480502971,-0.4603356482731878,0.2363306870321792
7,-0.4773898042561323,-0.0850941378065953,0.1991184558783311
64,-0.432940753566595,-0.6104322524598257,0.8374575534155566
10,-0.6551860070142812,-0.7605288566464635,0.4294145415224555
47,-0.2995936014979833,-0.6104322524598257,1.111019920835083
28,-0.788533159082893,-0.8355771587397824,0.549607626529146
72,-0.1217973987398343,-0.7605288566464635,0.3980141989652909
21,-1.1441255645991908,-0.6104322524598257,0.6681862980367578
45,-0.3440426521875206,-0.5353839503665068,1.1184462229308685
20,-1.2330236659782654,-0.2351907419932331,0.5592133868486846
31,-0.7440841083933557,-0.3852873461798689,0.499076484007861
117,0.1893459560869263,1.8661617166196964,-1.1514756612516044
123,0.2782440574660007,2.16635492499297,-0.593598932508656
81,-0.6996350577038185,-0.6854805545531446,-0.7856737785619953
97,2.2784513384951763,0.2901473726599992,-1.4520471665107852
66,-0.432940753566595,-0.31023904408655,0.6133769597428996
26,-0.8329822097724303,-0.7605288566464635,0.5153820603485963
42,-0.4773898042561323,-0.0850941378065953,0.9685479295410486
102,2.5451456426324,1.490920206153102,-2.5268994579974295
71,-0.2106955001189089,-0.8355771587397824,0.7925768581410644
94,1.789511780910267,-0.1601424398999142,-0.3686304114115086
53,0.0559988040183145,-0.3852873461798689,1.149685124138108
68,-0.4773898042561323,-0.3852873461798689,0.6556745934188659
51,-0.1217973987398343,-0.7605288566464635,1.11771973685628
107,1.6561646288416552,1.5659685082464208,-1.813482060685378
56,-0.2106955001189089,-0.4603356482731878,0.9815439582086698
118,0.1448969053973891,1.7911134145263776,-0.8890608190432364
14,-1.2774727166678026,-0.6104322524598257,0.7527815653886788
18,-1.1441255645991908,-0.1601424398999142,0.4977849532085979
59,-0.3884917028770578,-0.6854805545531446,0.8118690994550983
98,2.5451456426324,0.4402439768466371,-1.77088576051209
93,1.5228174767730436,-0.1601424398999142,-0.174594052956781
15,-1.32192176735734,-0.5353839503665068,0.6993444785690405
61,-0.5662879056352068,-0.6104322524598257,0.9310128156873848
9,-0.4773898042561323,-0.6104322524598257,0.2786283207081455
13,-1.2330236659782654,-0.4603356482731878,0.7545574202376711
108,1.6117155781521182,1.7911134145263776,-1.6143280114385634
27,-0.7440841083933557,-0.7605288566464635,0.5581640180742805
74,-0.5662879056352068,-0.7605288566464635,-1.3492413148892148
49,-0.255144550808446,-0.6854805545531446,1.1321687376730662
60,-0.5218388549456695,-0.6854805545531446,0.8670013204487607
85,-0.4773898042561323,-0.5353839503665068,-0.026592695428389
109,1.433919375393969,1.7911134145263776,-1.4813326273841458
48,-0.2995936014979833,-0.6854805545531446,1.1252267596270105
63,-0.3440426521875206,-0.6854805545531446,0.9151108427214218
104,2.411798490563788,1.7160651124330586,-2.4273789378464907
83,-0.6107369563247441,-0.6104322524598257,-0.580990363080823
8,-0.4773898042561323,-0.2351907419932331,0.1920150364823731
90,1.1672250712567458,-0.0850941378065953,0.2854895780792445
5,-0.2995936014979833,-0.0850941378065953,0.1991184558783311
105,2.1895532371161024,1.6410168103397398,-2.2812018675720673
113,0.1004478547078518,1.9412100187130157,-0.9522651075323154
84,-0.6107369563247441,-0.6104322524598257,-0.3572487962429777
67,-0.4773898042561323,-0.3852873461798689,0.5972328247520778
